Id,ActivityHour,StepTotal
1503960366,3/13/2016 12:00:00 AM,121
1503960366,3/13/2016 1:00:00 AM,160
1503960366,3/13/2016 2:00:00 AM,200
1503960366,3/13/2016 3:00:00 AM,218
1503960366,3/13/2016 4:00:00 AM,219
1503960366,3/13/2016 5:00:00 AM,220
1503960366,3/13/2016 6:00:00 AM,220
1503960366,3/13/2016 7:00:00 AM,245
1503960366,3/13/2016 8:00:00 AM,479
1503960366,3/13/2016 9:00:00 AM,1743
1503960366,3/13/2016 10:00:00 AM,2577
1503960366,3/13/2016 11:00:00 AM,3206
1503960366,3/13/2016 12:00:00 PM,3893
1503960366,3/13/2016 1:00:00 PM,4737
1503960366,3/13/2016 2:00:00 PM,5718
1503960366,3/13/2016 3:00:00 PM,6296
1503960366,3/13/2016 4:00:00 PM,6875
1503960366,3/13/2016 5:00:00 PM,7494
1503960366,3/13/2016 6:00:00 PM,8446
1503960366,3/13/2016 7:00:00 PM,9678
1503960366,3/13/2016 8:00:00 PM,10828
1503960366,3/13/2016 9:00:00 PM,11525
1503960366,3/13/2016 10:00:00 PM,12093
1503960366,3/13/2016 11:00:00 PM,13145
